id,name,name_original_csv,name_original_pdf,sido,sigungu,sigungu_code,address_display,address_road_csv,address_lot_csv,address_pdf,lat,lng,install_place,install_place_csv,install_place_pdf,install_type,is_indoor,is_outdoor,is_movable,weekday_open,weekday_close,saturday_open,saturday_close,holiday_open,holiday_close,is_24h,simultaneous_count,air_pump_available,phone_charge_available,contact_phone,contact_phone_pdf,manager_name_csv,manager_phone_csv,data_date_csv,source_csv,source_pdf,source_url_pdf,license_note_pdf,coordinate_status,review_status,review_notes
CHG_GS_011,군산노인종합복지관,군산노인종합복지관,군산노인종합복지관,전북특별자치도,군산시,45130,전북특별자치도 군산시 둔배미길 29,전북특별자치도 군산시 둔배미길 29,전북특별자치도 군산시 중앙로2가 140-8,전북특별자치도 군산시 둔배미길 29,35.9829328,126.7158346,본관 주차장,자전거보관소 옆,본관 주차장,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-442-4227,063-442-4227,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_012,근대역사박물관,근대역사박물관,,전북특별자치도,군산시,45130,전북특별자치도 군산시 해망로 240,전북특별자치도 군산시 해망로 240,전북특별자치도 군산시 장미동 1-67,,35.99081903,126.7119523,물품보관소 전광판 옆,물품보관소 전광판 옆,,,False,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,False,https://www.gunsan.go.kr/main/m2522,,ok,review,CSV에만 존재함: 군산시 PDF 최신 목록과 교차 확인 필요
CHG_GS_013,군산수송공원,군산수송공원,군산수송공원,전북특별자치도,군산시,45130,전북특별자치도 군산시 수송동 851번지,,전북특별자치도 군산시 수송동 851,전북특별자치도 군산시 수송동 851번지,35.96551795,126.7207259,남자화장실 옆,남자화장실 옆,남자화장실 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,063-454-3172,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,review,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완
CHG_GS_014,대야노인복지관,대야노인복지관,대야노인복지관,전북특별자치도,군산시,45130,전북특별자치도 군산시 대야면 우덕2길 7,전북특별자치도 군산시 대야면 우덕2길 7,전북특별자치도 군산시 대야면 지경리 731-21,전북특별자치도 군산시 대야면 우덕2길 7,35.94707177,126.8108294,식당 뒷문 옆,식당 뒷문 옆,식당 뒷문 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-451-9500,063-451-9500,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_015,군산해누리노인복지관,군산해누리노인복지관,,전북특별자치도,군산시,45130,전북특별자치도 군산시 효자길 11,전북특별자치도 군산시 효자길 11,전북특별자치도 군산시 오룡동 900-40,,35.979289,126.7107139822,고령자복지주택 지하주차장 입구,고령자복지주택 지하주차장 입구,,,False,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,False,https://www.gunsan.go.kr/main/m2522,,ok,review,CSV에만 존재함: 군산시 PDF 최신 목록과 교차 확인 필요
CHG_GS_016,수송동 주민센터,수송동 주민센터,수송동 주민센터,전북특별자치도,군산시,45130,전북특별자치도 군산시 동수송1길 7,전북특별자치도 군산시 동수송1길 7,전북특별자치도 군산시 수송동 845-1,전북특별자치도 군산시 동수송1길 7,35.96483636,126.717626,무인민원발급기 옆,무인민원발급기 옆,무인민원발급기 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-7657,063-454-7657,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_017,미성동 주민센터,미성동 주민센터,미성동 주민센터,전북특별자치도,군산시,45130,전북특별자치도 군산시 공항로 371,전북특별자치도 군산시 공항로 371,전북특별자치도 군산시 산북동 2479-3,전북특별자치도 군산시 공항로 371,35.95786821,126.6576242,군산종합안내도 옆,군산종합안내도 옆,군산종합안내도 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-7827,063-454-7827,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_018,나운2동 주민센터,나운2동 주민센터,나운2동 주민센터,전북특별자치도,군산시,45130,전북특별자치도 군산시 나운3길 16,전북특별자치도 군산시 나운3길 16,전북특별자치도 군산시 나운동 376-1,전북특별자치도 군산시 나운3길 16,35.9648195,126.6996037,무인민원발급기 옆,무인민원발급기 옆,무인민원발급기 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-7727,063-454-7727,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_019,소룡동 동아아파트 앞 공원,소룡동 동아아파트 앞 공원,소룡동 동아아파트 앞 공원,전북특별자치도,군산시,45130,전북특별자치도 군산시 소룡동 1544번지,,전북특별자치도 군산시 소룡동 1544,전북특별자치도 군산시 소룡동 1544번지,35.9695767,126.6835488,화장실 앞,화장실 앞,화장실 앞,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,063-454-3172,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,review,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완
CHG_GS_020,디오션시티 철길공원,디오션시티 철길공원,디오션시티 철길공원,전북특별자치도,군산시,45130,전북특별자치도 군산시 조촌동 3972번지,,전북특별자치도 군산시 조촌동 3972,전북특별자치도 군산시 조촌동 3972번지,35.97777367,126.7432055,남자화장실 옆,남자화장실 옆,남자화장실 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,063-454-3172,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,review,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완
CHG_GS_021,대한노인회 군산시지회,,대한노인회 군산시지회,전북특별자치도,군산시,45130,전북특별자치도 군산시 오룡로 27,,,전북특별자치도 군산시 오룡로 27,,,장애인주차구역 옆,,장애인주차구역 옆,옥외,False,True,False,,,,,,,,,,,063-465-7677,063-465-7677,,,,False,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,needs_geocoding,review,군산시 PDF에만 존재함: CSV 좌표 없음 → 지도 마커 표시 전 지오코딩 필요
